Timesheet ID Num Staff ID Num Start Date/Time    End Date/Time  Payment Amount
        1             1        02.08.2011 8:00 02.08.2011 12:00 $
        2             9       02.08.2011 12:00 02.08.2011 20:00 $
        3             5       02.08.2011 12:30 02.08.2011 19:30 $
        4             6       02.08.2011 13:00 02.08.2011 19:00 $
        5             21      03.08.2011 10:30 03.08.2011 17:30 $
        6             14      03.08.2011 13:00 03.08.2011 15:00 $
        7             56       04.08.2011 9:30 04.08.2011 14:30 $
        8             27      04.08.2011 10:00 04.08.2011 17:00 $
        9             2       04.08.2011 13:00 04.08.2011 17:00 $
       10             12      04.08.2011 13:30 04.08.2011 18:30 $
       11             18      04.08.2011 14:00 04.08.2011 18:00 $
       12             13       05.08.2011 8:00 05.08.2011 14:00 $
       13             16       05.08.2011 8:30 05.08.2011 14:30 $
       14             14       05.08.2011 9:00 05.08.2011 14:00 $
       15             19      05.08.2011 10:30 05.08.2011 13:30 $
       16             2        06.08.2011 8:00 06.08.2011 14:00 $
       17             14       06.08.2011 8:00 06.08.2011 12:00 $
       18             18       06.08.2011 9:30 06.08.2011 14:30 $
       19             14       07.08.2011 8:00 07.08.2011 16:00 $
       20             32       07.08.2011 8:00 07.08.2011 12:00 $
       21             19       07.08.2011 8:30 07.08.2011 13:30 $
       22             2       07.08.2011 12:30 07.08.2011 15:30 $
       23             1       07.08.2011 13:00 07.08.2011 17:00 $
       24             16      07.08.2011 13:30 07.08.2011 19:30 $
       25             12       08.08.2011 8:30 08.08.2011 11:30 $
       26             18       08.08.2011 9:00 08.08.2011 15:00 $
       27             13      08.08.2011 11:30 08.08.2011 18:30 $
       28             14      08.08.2011 12:30 08.08.2011 20:30 $
       29             19      09.08.2011 12:30 09.08.2011 19:30 $
       30             46      09.08.2011 13:00 09.08.2011 16:00 $
       31             15      10.08.2011 10:30 10.08.2011 15:30 $
       32             13      10.08.2011 12:00 10.08.2011 16:00 $
       33             14      10.08.2011 13:00 10.08.2011 20:00 $
       34             46      10.08.2011 13:30 10.08.2011 15:30 $
       35             5        09.06.2012 8:00 09.06.2012 15:00 $
       36             72       09.06.2012 8:30 09.06.2012 11:30 $
       37             96       09.06.2012 9:30 09.06.2012 11:30 $
       38             97       09.06.2012 9:30 09.06.2012 12:30 $
       39            100      09.06.2012 10:00 09.06.2012 17:00 $
       40             50      09.06.2012 10:30 09.06.2012 13:30 $
       41             57      09.06.2012 11:00 09.06.2012 15:00 $
       42             70      09.06.2012 11:30 09.06.2012 18:30 $
       43            112      09.06.2012 12:00 09.06.2012 20:00 $
       44            122      09.06.2012 12:00 09.06.2012 20:00 $
       45            124      09.06.2012 12:30 09.06.2012 20:30 $
       46            126      09.06.2012 12:30 09.06.2012 19:30 $
       47            127      09.06.2012 13:30 09.06.2012 18:30 $
       48            199      09.06.2012 13:30 09.06.2012 15:30 $
       49             93      09.06.2012 14:00 09.06.2012 20:00 $
       50            241      09.06.2012 14:00 09.06.2012 19:00 $
       51             5        10.06.2012 8:00 10.06.2012 14:00 $
       52             72       10.06.2012 8:30 10.06.2012 11:30 $
       53             96       10.06.2012 9:00 10.06.2012 13:00 $
       54             97       10.06.2012 9:00 10.06.2012 16:00 $
       55            100       10.06.2012 9:00 10.06.2012 14:00 $
       56            112      10.06.2012 10:30 10.06.2012 15:30 $
       57            122      10.06.2012 11:00 10.06.2012 14:00 $
       58            124      10.06.2012 12:00 10.06.2012 15:00 $
       59            126      10.06.2012 13:00 10.06.2012 17:00 $
       60            127      10.06.2012 13:00 10.06.2012 15:00 $
       61            199      10.06.2012 13:30 10.06.2012 15:30 $
       62            141      10.06.2012 14:00 10.06.2012 21:00 $
       63            143      10.06.2012 14:00 10.06.2012 21:00 $
       64             5        11.06.2012 8:00 11.06.2012 14:00 $
       65             72       11.06.2012 9:00 11.06.2012 16:00 $
       66             96       11.06.2012 9:30 11.06.2012 13:30 $
       67             97       11.06.2012 9:30 11.06.2012 12:30 $
       68            100       11.06.2012 9:30 11.06.2012 13:30 $
       69             50      11.06.2012 10:00 11.06.2012 14:00 $
       70             57      11.06.2012 10:30 11.06.2012 17:30 $
       71             83      11.06.2012 11:00 11.06.2012 14:00 $
       72             87      11.06.2012 11:00 11.06.2012 13:00 $
       73             93      11.06.2012 12:00 11.06.2012 15:00 $
       74            174      11.06.2012 12:00 11.06.2012 20:00 $
       75            180      11.06.2012 13:00 11.06.2012 15:00 $
       76            187       12.06.2012 8:00 12.06.2012 16:00 $
       77             72       12.06.2012 8:30 12.06.2012 10:30 $
       78            189       12.06.2012 8:30 12.06.2012 13:30 $
       79             96       12.06.2012 9:00 12.06.2012 16:00 $
       80             97       12.06.2012 9:00 12.06.2012 13:00 $
       81            100       12.06.2012 9:00 12.06.2012 16:00 $
       82             70       12.06.2012 9:30 12.06.2012 14:30 $
       83             71       12.06.2012 9:30 12.06.2012 12:30 $
       84             80       12.06.2012 9:30 12.06.2012 12:30 $
       85             38      12.06.2012 10:30 12.06.2012 17:30 $
       86             88      12.06.2012 10:30 12.06.2012 17:30 $
       87             61      12.06.2012 11:00 12.06.2012 17:00 $
       88             83      12.06.2012 12:30 12.06.2012 20:30 $
       89             86      12.06.2012 13:00 12.06.2012 21:00 $
       90             87      12.06.2012 13:00 12.06.2012 17:00 $
